Game,System,Publisher,Developer,Category,Year
Asmik-kun Land,Nintendo NES,Asmik Corporation,Asmik Corporation,Action,1991.0
Assassin,Commodore Amiga,Team17 Software,Psionic Systems,Action,1992.0
Assassin Special Edition,Commodore Amiga,Team17 Software,Psionic Systems,Action,1994.0
Assassin's Creed,Microsoft Xbox 360,Ubisoft,Ubisoft,Action,2007.0
Assassin's Creed Brotherhood,Microsoft Xbox 360,Ubisoft,Ubisoft,Action,
Assassin's Creed II,Microsoft Xbox 360,Ubisoft,Ubisoft,Action,2009.0
Assassin's Creed Revelations,Microsoft Xbox 360,Ubisoft,Ubisoft,Action,2011.0
Assassin's Creed® III,Microsoft Xbox 360,Ubisoft,Ubisoft,Action,2012.0
Assault Heroes,Microsoft Xbox Live Arcade,Microsoft,Wanako Games,Action,2009.0
Assault Heroes 2,Microsoft Xbox 360,Xbox LIVE Arcade,Wanako Games,Action,2008.0
Assault Heroes 2,Microsoft Xbox Live Arcade,Xbox LIVE Arcade,Wanako Games,Action,2008.0
Assault on Dark Athena,Microsoft Xbox 360,Atari,Starbreeze,Action,2009.0
Astal,Sega Saturn,Sega,Sega,Action,1995.0
Asterix,Sega Master System,Sega,Sega,Action,1991.0
Asterix,Nintendo Game Boy,Infogrames,Bit Managers,Action,1993.0
Asterix,Nintendo NES,Infogrames,Bit Managers,Action,1993.0
Astérix,Nintendo SNES,Infogrames,Infogrames,Action,1993.0
Asterix and Obelix,Nintendo SNES,Infogrames,Infogrames,Action,1996.0
Astérix and the Great Rescue,Sega Genesis,Sega,Core Design Ltd.,Action,1994.0
Astérix and the Great Rescue,Sega Game Gear,Sega,Core Design Ltd.,Action,1995.0
Astérix and the Great Rescue,Sega Master System,Tec Toy Indústria de Bri...,Core Design Ltd.,Action,1994.0
Astérix and the Great Rescue,Sega Nomad,Sega,Core Design Ltd.,Action,1994.0
Asterix and the Power of the Gods,Sega Nomad,Sega,Core Design Ltd.,Action,1995.0
Asterix and the Power of the Gods,Sega Genesis,Sega,Core Design Ltd.,Action,1995.0
Astérix and the Secret Mission,Sega Master System,Sega,Sega,Action,1993.0
Astérix and the Secret Mission,Sega Game Gear,Sega,Sega,Action,1993.0
Astro Tripper,Valve Steam,Pom Pom Games,PomPom,Action,2011.0
Astroball (Demo),MGT Sam Coupe,Public Domain,Balor Knight,Action,1992.0
Astropop,Microsoft Xbox Live Arcade,Microsoft,Oberon Media,Action,2010.0
ASURA'S WRATH,Microsoft Xbox 360,Capcom,CyberConnect2 Co.Ltd.,Action,2012.0
At Worlds End,Microsoft Xbox 360,Disney,Eurocom,Action,2007.0
AtariAge Holiday Greetings 2004,Atari 2600,AtariAge,RetroActive,Action,2004.0
Athena,Nintendo NES,SNK Corporation,SNK Corporation,Action,1987.0
Athena,Sinclair ZX Spectrum,Imagine Software,SNK Corporation,Action,1987.0
Athena,Commodore 64,Imagine Software,SNK Corporation,Action,1987.0
Athletic Land,MSX,Konami,Konami,Action,1984.0
Athletic Land,MSX 2,Konami,Konami,Action,1984.0
Atic Atac,Sinclair ZX Spectrum,Ultimate - Play the Game,Ashby Computers and Grap...,Action,1983.0
Atomic Runner,Sega Genesis,Data East Corporation,Data East Corporation,Action,1992.0
Atomic Runner,Sega Nomad,Data East Corporation,Data East Corporation,Action,1992.0
Attack of the Killer Tomatoes,Nintendo Game Boy,THQ,THQ,Action,1992.0
Attack of the Mutant Penguins,Atari Jaguar,Atari,Sunrise Games,Action,
AttackOfTheMovies3D,Microsoft Xbox 360,Majesco,Panic,Action,2010.0
Austin Powers: Oh Behave,Nintendo Game Boy Color,Take 2 Interactive,Tarantula Studios,Action,2000.0
Austin Powers: Welcome to My Underground Lair,Nintendo Game Boy Color,Take 2 Interactive,Tarantula Studios,Action,2000.0
Autobahn,Apple II,Sirius Software,Sirius Software,Action,1981.0
Avatar: TLA: TBE,Microsoft Xbox 360,THQ,THQ,Action,2007.0
Avenging Spirit,Nintendo Game Boy,Jaleco Ltd.,Jaleco Ltd.,Action,1992.0
Awesome Possum Kicks Dr. Machino's Butt,Sega Nomad,Tengen Ltd.,Tengen Ltd.,Action,1993.0
